20170201 013600;1.255780;1.255800;1.255690;1.255710;0
20170201 013700;1.255710;1.255800;1.255560;1.255620;0
20170201 013800;1.255620;1.255790;1.255510;1.255790;0
20170201 013900;1.255790;1.255920;1.255780;1.255920;0
20170201 014000;1.255900;1.256020;1.255850;1.255970;0
20170201 014100;1.255970;1.256000;1.255820;1.255960;0
20170201 014200;1.255980;1.256000;1.255950;1.256000;0
20170201 014300;1.256020;1.256030;1.255970;1.255990;0
20170201 014400;1.255960;1.256010;1.255860;1.255890;0
20170201 014500;1.255880;1.255880;1.255750;1.255780;0
20170201 014600;1.255780;1.255790;1.255600;1.255690;0
20170201 014700;1.255710;1.255710;1.255540;1.255560;0
20170201 014800;1.255580;1.255610;1.255500;1.255520;0
20170201 014900;1.255560;1.255630;1.255560;1.255570;0
20170201 015000;1.255580;1.255680;1.255510;1.255620;0
20170201 015100;1.255630;1.255630;1.255320;1.255550;0
20170201 015200;1.255570;1.255610;1.255430;1.255530;0
20170201 015300;1.255550;1.255580;1.255490;1.255500;0
20170201 015400;1.255520;1.255530;1.255480;1.255520;0
20170201 015500;1.255520;1.255590;1.255440;1.255450;0
20170201 015600;1.255490;1.255490;1.255460;1.255460;0
20170201 015700;1.255470;1.255700;1.255430;1.255700;0
20170201 015800;1.255680;1.256000;1.255570;1.256000;0
20170201 015900;1.256020;1.256440;1.256020;1.256200;0
20170201 020000;1.256220;1.256310;1.256170;1.256290;0
20170201 020100;1.256310;1.256530;1.256300;1.256410;0
20170201 020200;1.256430;1.256440;1.255790;1.255790;0
20170201 020300;1.255800;1.255830;1.255610;1.255730;0
20170201 020400;1.255760;1.255980;1.255760;1.255840;0
20170201 020500;1.255870;1.255980;1.255720;1.255900;0
20170201 020600;1.255880;1.256000;1.255670;1.255760;0
20170201 020700;1.255740;1.255950;1.255660;1.255720;0
20170201 020800;1.255740;1.255810;1.254870;1.254880;0
20170201 020900;1.254860;1.255180;1.254310;1.255120;0
20170201 021000;1.255140;1.255310;1.254990;1.255180;0
20170201 021100;1.255170;1.255360;1.255100;1.255340;0
20170201 021200;1.255320;1.255530;1.255220;1.255330;0
20170201 021300;1.255330;1.255770;1.255300;1.255770;0
20170201 021400;1.255750;1.255820;1.255400;1.255430;0
20170201 021500;1.255480;1.255520;1.255340;1.255480;0
20170201 021600;1.255460;1.255500;1.255210;1.255390;0
20170201 021700;1.255330;1.255370;1.255170;1.255220;0
20170201 021800;1.255260;1.255300;1.254740;1.254800;0
20170201 021900;1.254870;1.255390;1.254860;1.255290;0
20170201 022000;1.255300;1.255300;1.255080;1.255080;0
20170201 022100;1.255100;1.255170;1.254620;1.254670;0
20170201 022200;1.254670;1.254890;1.254670;1.254690;0
20170201 022300;1.254700;1.255290;1.254700;1.255110;0
20170201 022400;1.255130;1.255230;1.254920;1.254990;0
20170201 022500;1.255010;1.255390;1.255010;1.255280;0
20170201 022600;1.255270;1.255520;1.255270;1.255480;0
20170201 022700;1.255510;1.255510;1.255290;1.255390;0
20170201 022800;1.255370;1.255370;1.255210;1.255310;0
20170201 022900;1.255240;1.255420;1.255190;1.255410;0
20170201 023000;1.255430;1.255640;1.255010;1.255100;0
20170201 023100;1.255100;1.255100;1.254890;1.254890;0
20170201 023200;1.254960;1.255120;1.254960;1.255120;0
20170201 023300;1.255090;1.255120;1.255080;1.255110;0
20170201 023400;1.255110;1.255380;1.255020;1.255210;0
20170201 023500;1.255250;1.255390;1.255210;1.255360;0
20170201 023600;1.255360;1.255640;1.255360;1.255400;0
20170201 023700;1.255400;1.255400;1.255260;1.255310;0
20170201 023800;1.255290;1.255670;1.255120;1.255520;0
20170201 023900;1.255540;1.255890;1.255540;1.255690;0
20170201 024000;1.255700;1.256000;1.255700;1.255900;0
20170201 024100;1.255890;1.256080;1.255840;1.256060;0
20170201 024200;1.256060;1.256100;1.255990;1.256020;0
20170201 024300;1.256020;1.256170;1.255980;1.256120;0
20170201 024400;1.256130;1.256210;1.256110;1.256210;0
20170201 024500;1.256200;1.256510;1.256110;1.256440;0
20170201 024600;1.256430;1.256650;1.256430;1.256620;0
20170201 024700;1.256620;1.257010;1.256620;1.256840;0
20170201 024800;1.256820;1.256820;1.256200;1.256250;0
20170201 024900;1.256240;1.256400;1.256010;1.256390;0
20170201 025000;1.256390;1.256450;1.255890;1.255920;0
20170201 025100;1.255930;1.256220;1.255900;1.256040;0
20170201 025200;1.255850;1.256070;1.255710;1.255870;0
20170201 025300;1.255900;1.256120;1.255890;1.256080;0
20170201 025400;1.256070;1.256680;1.256070;1.256680;0
20170201 025500;1.256700;1.257130;1.256700;1.257130;0
20170201 025600;1.257130;1.257130;1.256890;1.256910;0
20170201 025700;1.256930;1.257220;1.256930;1.257050;0
20170201 025800;1.257060;1.257110;1.256890;1.257110;0
20170201 025900;1.257090;1.257310;1.257030;1.257280;0
20170201 030000;1.257230;1.257510;1.257190;1.257320;0
20170201 030100;1.257310;1.257310;1.257090;1.257260;0
20170201 030200;1.257280;1.257400;1.257180;1.257340;0
20170201 030300;1.257350;1.257610;1.257220;1.257430;0
20170201 030400;1.257440;1.257480;1.257290;1.257430;0
20170201 030500;1.257440;1.257440;1.257060;1.257090;0
20170201 030600;1.257070;1.257130;1.256850;1.256850;0
20170201 030700;1.256860;1.256900;1.256680;1.256800;0
20170201 030800;1.256870;1.257170;1.256870;1.257000;0
20170201 030900;1.257000;1.257210;1.257000;1.257130;0
20170201 031000;1.257170;1.257170;1.256710;1.256910;0
20170201 031100;1.256890;1.256920;1.256670;1.256780;0
20170201 031200;1.256780;1.256990;1.256780;1.256980;0
20170201 031300;1.256990;1.257270;1.256980;1.257200;0
20170201 031400;1.257200;1.257280;1.257010;1.257110;0
20170201 031500;1.257120;1.257320;1.257100;1.257320;0
20170201 031600;1.257520;1.257720;1.257320;1.257690;0
20170201 031700;1.257710;1.257800;1.257180;1.257260;0
20170201 031800;1.257250;1.257340;1.257090;1.257090;0
20170201 031900;1.257100;1.257550;1.256980;1.257510;0
20170201 032000;1.257480;1.257780;1.257460;1.257520;0
20170201 032100;1.257510;1.257510;1.257380;1.257420;0
20170201 032200;1.257420;1.257500;1.257090;1.257120;0
20170201 032300;1.257130;1.257220;1.257070;1.257200;0
20170201 032400;1.257190;1.257210;1.257090;1.257210;0
20170201 032500;1.257210;1.257510;1.257210;1.257350;0
20170201 032600;1.257330;1.257420;1.257250;1.257290;0
20170201 032700;1.257280;1.257320;1.257220;1.257280;0
20170201 032800;1.257260;1.257260;1.257070;1.257210;0
20170201 032900;1.257210;1.257210;1.257070;1.257080;0
20170201 033000;1.257090;1.257190;1.257060;1.257160;0
20170201 033100;1.257150;1.257370;1.257090;1.257370;0
20170201 033200;1.257360;1.257820;1.257340;1.257720;0
20170201 033300;1.257720;1.257820;1.257590;1.257670;0
20170201 033400;1.257660;1.257710;1.257560;1.257700;0
20170201 033500;1.257720;1.257820;1.257500;1.257600;0
20170201 033600;1.257590;1.257610;1.257490;1.257510;0
20170201 033700;1.257490;1.257720;1.257490;1.257600;0
20170201 033800;1.257620;1.257880;1.257620;1.257620;0
20170201 033900;1.257650;1.257850;1.257640;1.257780;0
20170201 034000;1.257790;1.257980;1.257690;1.257860;0
20170201 034100;1.257860;1.257900;1.257390;1.257390;0
20170201 034200;1.257410;1.257470;1.257330;1.257410;0
20170201 034300;1.257400;1.257520;1.257360;1.257500;0
20170201 034400;1.257510;1.257690;1.257500;1.257620;0
20170201 034500;1.257630;1.257710;1.257400;1.257440;0
20170201 034600;1.257440;1.257630;1.257440;1.257500;0
20170201 034700;1.257490;1.257800;1.257490;1.257800;0
20170201 034800;1.257840;1.257910;1.257640;1.257690;0
20170201 034900;1.257690;1.257820;1.257640;1.257820;0
20170201 035000;1.257800;1.257920;1.257730;1.257900;0
20170201 035100;1.257880;1.257880;1.257600;1.257730;0
20170201 035200;1.257750;1.257900;1.257750;1.257890;0
20170201 035300;1.257880;1.257970;1.257880;1.257970;0
20170201 035400;1.257990;1.257990;1.257850;1.257880;0
20170201 035500;1.257880;1.257890;1.257640;1.257770;0
20170201 035600;1.257770;1.257830;1.257690;1.257720;0
20170201 035700;1.257710;1.257910;1.257660;1.257660;0
20170201 035800;1.257670;1.257890;1.257660;1.257840;0
20170201 035900;1.257840;1.257940;1.257640;1.257800;0
20170201 040000;1.257780;1.257940;1.257780;1.257920;0
20170201 040100;1.257930;1.257950;1.257880;1.257880;0
20170201 040200;1.257890;1.258290;1.257880;1.258250;0
20170201 040300;1.258270;1.258630;1.258090;1.258380;0
20170201 040400;1.258260;1.258290;1.257890;1.258210;0
20170201 040500;1.258230;1.258380;1.257920;1.258350;0
20170201 040600;1.258380;1.258460;1.258200;1.258290;0
20170201 040700;1.258270;1.258270;1.257990;1.258140;0
20170201 040800;1.258140;1.258340;1.258080;1.258110;0
20170201 040900;1.258110;1.258150;1.258070;1.258100;0
20170201 041000;1.258100;1.258380;1.258100;1.258180;0
20170201 041100;1.258180;1.258290;1.258070;1.258270;0
20170201 041200;1.258290;1.258290;1.258080;1.258170;0
20170201 041300;1.258170;1.258270;1.257950;1.258100;0
20170201 041400;1.258110;1.258130;1.257890;1.258100;0
20170201 041500;1.258110;1.258110;1.257770;1.257770;0
20170201 041600;1.257750;1.257910;1.257750;1.257820;0
