Time,Min,Max
20170105 171200,"1,2415","1,24152"
20170105 171300,"1,2415","1,24151"
20170105 171400,"1,24152","1,24152"
20170105 171500,"1,24148","1,24154"
20170105 171600,"1,24154","1,24162"
20170105 171700,"1,24163","1,24165"
20170105 171800,"1,24162","1,24163"
20170105 171900,"1,24161","1,24163"
20170105 172000,"1,24158","1,24158"
20170105 172200,"1,24146","1,24155"
20170105 172300,"1,2415","1,24185"
20170105 172400,"1,24185","1,24185"
20170105 172500,"1,24175","1,24175"
20170105 172600,"1,2416","1,2416"
20170105 172700,"1,24156","1,24156"
20170105 172800,"1,24153","1,24154"
20170105 172900,"1,24153","1,24154"
20170105 173000,"1,24164","1,24172"
20170105 173100,"1,24164","1,24164"
20170105 173200,"1,24161","1,24169"
20170105 173300,"1,24169","1,2417"
20170105 173400,"1,24169","1,24173"
20170105 173500,"1,24172","1,24172"
20170105 173600,"1,24147","1,24148"
20170105 173700,"1,24175","1,24179"
20170105 173800,"1,24178","1,24178"
20170105 173900,"1,24177","1,24219"
20170105 174000,"1,24198","1,242"
20170105 174100,"1,24171","1,24172"
20170105 174200,"1,24156","1,24161"
20170105 174300,"1,24163","1,24163"
20170105 174400,"1,24105","1,24108"
20170105 174500,"1,24097","1,24163"
20170105 174600,"1,24154","1,24163"
20170105 174700,"1,24156","1,24156"
20170105 174800,"1,24158","1,24158"
20170105 174900,"1,24151","1,24163"
20170105 175000,"1,24161","1,24161"
20170105 175100,"1,24157","1,24157"
20170105 175200,"1,24155","1,24168"
20170105 175300,"1,24157","1,24161"
20170105 175400,"1,24162","1,24163"
20170105 175500,"1,24158","1,24159"
20170105 175600,"1,24151","1,24154"
20170105 175700,"1,24149","1,24149"
20170105 175800,"1,24153","1,24153"
20170105 175900,"1,2415","1,2415"
20170105 180000,"1,24112","1,24134"
20170105 180100,"1,24121","1,24184"
20170105 180200,"1,24179","1,24217"
20170105 180300,"1,24217","1,24226"
20170105 180400,"1,24207","1,24218"
20170105 180500,"1,24218","1,24226"
20170105 180600,"1,24193","1,2422"
20170105 180700,"1,24218","1,24226"
20170105 180800,"1,24217","1,24223"
20170105 180900,"1,24217","1,24236"
20170105 181000,"1,24226","1,24226"
20170105 181100,"1,24195","1,24197"
20170105 181200,"1,2419","1,24193"
20170105 181300,"1,24193","1,24194"
20170105 181400,"1,2419","1,24194"
20170105 181500,"1,2419","1,2419"
20170105 181600,"1,2419","1,2419"
20170105 181700,"1,24179","1,24181"
20170105 181800,"1,24173","1,24174"
20170105 181900,"1,24164","1,24196"
20170105 182000,"1,24175","1,24175"
20170105 182100,"1,2416","1,24164"
20170105 182200,"1,24157","1,24161"
20170105 182300,"1,24151","1,2419"
20170105 182400,"1,24189","1,24199"
20170105 182500,"1,24197","1,24197"
20170105 182600,"1,24171","1,24185"
20170105 182700,"1,24196","1,24201"
20170105 182800,"1,24163","1,242"
20170105 182900,"1,24206","1,2422"
20170105 183000,"1,24222","1,24234"
20170105 183100,"1,24216","1,24238"
20170105 183200,"1,24217","1,24217"
20170105 183300,"1,24171","1,2423"
20170105 183400,"1,24208","1,24241"
20170105 183500,"1,24186","1,24191"
20170105 183600,"1,24191","1,24194"
20170105 183700,"1,24189","1,24189"
20170105 183800,"1,24179","1,24212"
20170105 183900,"1,24203","1,24203"
20170105 184000,"1,24188","1,24239"
20170105 184100,"1,24234","1,24264"
20170105 184200,"1,24221","1,24235"
20170105 184300,"1,2422","1,24251"
20170105 184400,"1,24228","1,24268"
20170105 184500,"1,24249","1,24266"
20170105 184600,"1,24263","1,24272"
20170105 184700,"1,24264","1,24296"
20170105 184800,"1,24268","1,24304"
20170105 184900,"1,24266","1,24295"
20170105 185000,"1,24259","1,24266"
20170105 185100,"1,24247","1,24253"
20170105 185200,"1,24228","1,24245"
20170105 185300,"1,24229","1,24243"
20170105 185400,"1,24229","1,24245"
20170105 185500,"1,24244","1,24244"
20170105 185600,"1,24224","1,24235"
20170105 185700,"1,24228","1,24228"
20170105 185800,"1,24219","1,24224"
20170105 185900,"1,24215","1,24218"
20170105 190000,"1,24206","1,24215"
20170105 190100,"1,2422","1,24234"
20170105 190200,"1,24204","1,24204"
20170105 190300,"1,2418","1,24189"
20170105 190400,"1,24183","1,2419"
20170105 190500,"1,24169","1,24169"
20170105 190600,"1,24143","1,24164"
20170105 190700,"1,24149","1,24153"
20170105 190800,"1,24113","1,24144"
20170105 190900,"1,24124","1,24145"
20170105 191000,"1,24118","1,24119"
20170105 191100,"1,24095","1,241"
20170105 191200,"1,24086","1,241"
20170105 191300,"1,24045","1,24045"
20170105 191400,"1,2403","1,2403"
20170105 191500,"1,24004","1,24067"
20170105 191600,"1,24057","1,24078"
20170105 191700,"1,24075","1,24081"
20170105 191800,"1,24071","1,24118"
20170105 191900,"1,24084","1,241"
20170105 192000,"1,24095","1,24095"
20170105 192100,"1,24074","1,24074"
20170105 192200,"1,24069","1,24111"
20170105 192300,"1,24085","1,24085"
20170105 192400,"1,24072","1,24088"
20170105 192500,"1,24074","1,24091"
20170105 192600,"1,24088","1,24094"
20170105 192700,"1,24083","1,24095"
20170105 192800,"1,24095","1,2412"
20170105 192900,"1,24115","1,24115"
20170105 193000,"1,24108","1,24134"
20170105 193100,"1,24121","1,24128"
20170105 193200,"1,24097","1,24103"
20170105 193300,"1,24088","1,24088"
20170105 193400,"1,24058","1,24059"
20170105 193500,"1,24047","1,2405"
20170105 193600,"1,24047","1,24065"
20170105 193700,"1,24037","1,2405"
20170105 193800,"1,24036","1,24038"
20170105 193900,"1,24026","1,24039"
20170105 194000,"1,24037","1,24037"
20170105 194100,"1,24023","1,24037"
20170105 194200,"1,24034","1,24039"
20170105 194300,"1,24025","1,24053"
20170105 194400,"1,24047","1,24064"
20170105 194500,"1,24057","1,24067"
20170105 194600,"1,24057","1,24057"
20170105 194700,"1,24035","1,24056"
20170105 194800,"1,24052","1,24052"
20170105 194900,"1,24046","1,24048"
20170105 195000,"1,24014","1,24023"
20170105 195100,"1,24016","1,24027"
20170105 195200,"1,24024","1,24035"
20170105 195300,"1,24006","1,24035"
20170105 195400,"1,24034","1,24039"
20170105 195500,"1,24025","1,24028"
20170105 195600,"1,24018","1,24019"
20170105 195700,"1,24008","1,24033"
20170105 195800,"1,24021","1,24047"
20170105 195900,"1,24046","1,24062"
20170105 200000,"1,2404","1,2404"
20170105 200100,"1,24027","1,24034"
20170105 200200,"1,24018","1,24034"
20170105 200300,"1,2401","1,24035"
20170105 200400,"1,24032","1,24037"
20170105 200500,"1,24028","1,24029"
20170105 200600,"1,24016","1,24019"
20170105 200700,"1,24014","1,24028"
20170105 200800,"1,24016","1,24041"
20170105 200900,"1,24035","1,24038"
20170105 201000,"1,2404","1,24043"
20170105 201100,"1,2404","1,24048"
20170105 201200,"1,24046","1,24057"
20170105 201300,"1,24054","1,24062"
20170105 201400,"1,24047","1,24051"
20170105 201500,"1,24024","1,24046"
20170105 201600,"1,24041","1,24041"
20170105 201700,"1,24015","1,24024"
20170105 201800,"1,24017","1,24025"
20170105 201900,"1,23987","1,23997"
20170105 202000,"1,23967","1,2397"
20170105 202100,"1,23952","1,23978"
20170105 202200,"1,23975","1,23977"
20170105 202300,"1,23947","1,23948"
20170105 202400,"1,23938","1,23938"
20170105 202500,"1,23907","1,23932"
20170105 202600,"1,23918","1,23929"
20170105 202700,"1,23892","1,239"
20170105 202800,"1,23897","1,23906"
20170105 202900,"1,23867","1,23872"
20170105 203000,"1,23872","1,23911"
20170105 203100,"1,23886","1,23898"
20170105 203200,"1,23896","1,23908"
20170105 203300,"1,23906","1,23916"
20170105 203400,"1,23892","1,23919"
20170105 203500,"1,23901","1,23923"
20170105 203600,"1,23903","1,23908"
20170105 203700,"1,23898","1,23904"
20170105 203800,"1,23903","1,23911"
20170105 203900,"1,23908","1,23928"
20170105 204000,"1,23898","1,23914"
20170105 204100,"1,2389","1,23898"
20170105 204200,"1,23881","1,23885"
20170105 204300,"1,23839","1,2386"
20170105 204400,"1,23808","1,23838"
20170105 204500,"1,23841","1,23856"
20170105 204600,"1,23835","1,23858"
20170105 204700,"1,23857","1,23865"
20170105 204800,"1,23859","1,23865"
20170105 204900,"1,23815","1,23854"
20170105 205000,"1,23854","1,23858"
20170105 205100,"1,23851","1,23858"
20170105 205200,"1,23859","1,23866"
20170105 205300,"1,23865","1,23872"
20170105 205400,"1,23854","1,23862"
20170105 205500,"1,23863","1,2387"
20170105 205600,"1,23867","1,23881"
20170105 205700,"1,23879","1,23908"
20170105 205800,"1,23895","1,23896"
20170105 205900,"1,23877","1,23886"
20170105 210000,"1,23863","1,23871"
20170105 210100,"1,23847","1,2386"
20170105 210200,"1,23857","1,23873"
20170105 210300,"1,23866","1,2388"
20170105 210400,"1,2387","1,23883"
20170105 210500,"1,23878","1,23881"
20170105 210600,"1,23869","1,2388"
20170105 210700,"1,23867","1,23868"
20170105 210800,"1,23848","1,23849"
20170105 210900,"1,23847","1,23858"
20170105 211000,"1,23857","1,23887"
20170105 211100,"1,23877","1,23886"
20170105 211200,"1,23885","1,23894"
20170105 211300,"1,23887","1,2389"
20170105 211400,"1,23887","1,23906"
20170105 211500,"1,23908","1,23912"
20170105 211600,"1,2389","1,23892"
20170105 211700,"1,23886","1,23888"
20170105 211800,"1,23886","1,23897"
20170105 211900,"1,23897","1,23899"
20170105 212000,"1,23887","1,23897"
20170105 212100,"1,2388","1,23917"
20170105 212200,"1,23885","1,23899"
20170105 212300,"1,23897","1,2391"
20170105 212400,"1,23903","1,2392"
20170105 212500,"1,23902","1,23908"
20170105 212600,"1,23901","1,23909"
20170105 212700,"1,23906","1,23916"
20170105 212800,"1,23908","1,23911"
20170105 212900,"1,23908","1,23913"
20170105 213000,"1,2391","1,23942"
20170105 213100,"1,23928","1,23937"
20170105 213200,"1,23923","1,23931"
20170105 213300,"1,23929","1,23936"
20170105 213400,"1,2393","1,23931"
20170105 213500,"1,23919","1,23931"
20170105 213600,"1,23928","1,23949"
20170105 213700,"1,23952","1,23952"
20170105 213800,"1,23944","1,23953"
20170105 213900,"1,23948","1,23961"
20170105 214000,"1,23959","1,23969"
20170105 214100,"1,23964","1,23976"
20170105 214200,"1,2397","1,23982"
20170105 214300,"1,23968","1,23979"
20170105 214400,"1,23973","1,23981"
20170105 214500,"1,23973","1,23997"
20170105 214600,"1,23981","1,23981"
20170105 214700,"1,23959","1,23964"
20170105 214800,"1,23957","1,23973"
20170105 214900,"1,23966","1,23978"
20170105 215000,"1,23969","1,23972"
20170105 215100,"1,23958","1,2396"
20170105 215200,"1,23946","1,23947"
20170105 215300,"1,23937","1,23947"
20170105 215400,"1,23941","1,23948"
20170105 215500,"1,23929","1,23938"
20170105 215600,"1,23932","1,23938"
20170105 215700,"1,2393","1,23945"
20170105 215800,"1,23919","1,2393"
20170105 215900,"1,23927","1,23929"
20170105 220000,"1,23928","1,23932"
20170105 220100,"1,23931","1,23931"
20170105 220200,"1,23923","1,23927"
20170105 220300,"1,23926","1,23937"
20170105 220400,"1,23931","1,23931"
20170105 220500,"1,23931","1,23939"
20170105 220600,"1,23938","1,23948"
20170105 220700,"1,23948","1,23955"
20170105 220800,"1,23939","1,23941"
20170105 220900,"1,23932","1,23964"
20170105 221000,"1,23961","1,23961"
20170105 221100,"1,23937","1,2395"
20170105 221200,"1,23938","1,23938"
20170105 221300,"1,2393","1,23932"
20170105 221400,"1,23918","1,23928"
20170105 221500,"1,23924","1,23932"
20170105 221600,"1,23916","1,23916"
20170105 221700,"1,23908","1,23922"
20170105 221800,"1,23909","1,23911"
20170105 221900,"1,23908","1,23911"
20170105 222000,"1,23909","1,23909"
20170105 222100,"1,23896","1,23896"
20170105 222200,"1,23888","1,2389"
20170105 222300,"1,23885","1,23887"
20170105 222400,"1,23873","1,23876"
20170105 222500,"1,23867","1,23872"
20170105 222600,"1,23873","1,23877"
20170105 222700,"1,23855","1,23855"
20170105 222800,"1,23843","1,23853"
20170105 222900,"1,23843","1,23847"
20170105 223000,"1,23839","1,23848"
20170105 223100,"1,23838","1,23847"
20170105 223200,"1,23838","1,23841"
20170105 223300,"1,23838","1,23838"
20170105 223400,"1,23829","1,23845"
20170105 223500,"1,23825","1,23838"
20170105 223600,"1,2383","1,23833"
20170105 223700,"1,23832","1,23843"
20170105 223800,"1,23837","1,23848"
20170105 223900,"1,23845","1,23854"
20170105 224000,"1,2384","1,23847"
20170105 224100,"1,23836","1,23837"
20170105 224200,"1,23825","1,23848"
20170105 224300,"1,23848","1,23856"
20170105 224400,"1,23844","1,23848"
20170105 224500,"1,23846","1,23869"
20170105 224600,"1,23855","1,23857"
20170105 224700,"1,23855","1,23868"
20170105 224800,"1,23867","1,23868"
20170105 224900,"1,23866","1,23869"
20170105 225000,"1,23868","1,2387"
20170105 225100,"1,23869","1,2388"
20170105 225200,"1,23881","1,23881"
20170105 225300,"1,23877","1,23881"
20170105 225400,"1,2387","1,2388"
20170105 225500,"1,23876","1,23894"
20170105 225600,"1,23888","1,23903"
20170105 225700,"1,23897","1,23898"
20170105 225800,"1,23889","1,23898"
20170105 225900,"1,23889","1,23901"
20170105 230000,"1,23893","1,23909"
20170105 230100,"1,23908","1,23908"
20170105 230200,"1,23893","1,2391"
20170105 230300,"1,23895","1,23895"
20170105 230400,"1,23888","1,23903"
20170105 230500,"1,23898","1,23903"
20170105 230600,"1,23901","1,2392"
20170105 230700,"1,23906","1,23917"
20170105 230800,"1,23901","1,23901"
20170105 230900,"1,23905","1,23907"
20170105 231000,"1,23909","1,23919"
20170105 231100,"1,23879","1,23887"
20170105 231200,"1,23868","1,23868"
20170105 231300,"1,23862","1,23865"
20170105 231400,"1,23861","1,23862"
20170105 231500,"1,23859","1,23859"
20170105 231600,"1,23859","1,2387"
20170105 231700,"1,23857","1,23861"
20170105 231800,"1,23836","1,23845"
20170105 231900,"1,2384","1,23852"
20170105 232000,"1,23849","1,23857"
20170105 232100,"1,23838","1,23839"
20170105 232200,"1,23834","1,23838"
20170105 232300,"1,23828","1,2383"
20170105 232400,"1,23829","1,2383"
20170105 232500,"1,23829","1,23829"
20170105 232600,"1,23828","1,23828"
20170105 232700,"1,23828","1,23828"
20170105 232800,"1,23825","1,23833"
20170105 232900,"1,23829","1,23829"
20170105 233000,"1,23826","1,23869"
20170105 233100,"1,23868","1,23877"
20170105 233200,"1,23871","1,23879"
20170105 233300,"1,23874","1,23897"
20170105 233400,"1,23886","1,23887"
20170105 233500,"1,23888","1,23889"
20170105 233600,"1,23886","1,23887"
20170105 233700,"1,23885","1,23901"
20170105 233800,"1,23898","1,23907"
20170105 233900,"1,23904","1,23904"
20170105 234000,"1,239","1,239"
20170105 234100,"1,23893","1,23893"
20170105 234200,"1,23881","1,23881"
20170105 234300,"1,23882","1,23894"
20170105 234400,"1,23877","1,23879"
20170105 234500,"1,2388","1,23889"
20170105 234600,"1,23867","1,2387"
20170105 234700,"1,2387","1,2387"
20170105 234800,"1,23851","1,2386"
20170105 234900,"1,23844","1,23859"
20170105 235000,"1,23856","1,2386"
20170105 235100,"1,2386","1,23861"
20170105 235200,"1,23836","1,23859"
20170105 235300,"1,23848","1,23859"
20170105 235400,"1,23844","1,23849"
20170105 235500,"1,23842","1,23842"
20170105 235600,"1,23828","1,2383"
20170105 235700,"1,23819","1,23849"
20170105 235800,"1,23846","1,23848"
20170105 235900,"1,23813","1,23816"
20170106 000000,"1,23799","1,23808"
20170106 000100,"1,23809","1,23809"
20170106 000200,"1,23798","1,23798"
20170106 000300,"1,23798","1,23808"
20170106 000400,"1,23798","1,23808"
20170106 000500,"1,23805","1,23808"
20170106 000600,"1,23796","1,23799"
20170106 000700,"1,23798","1,23808"
20170106 000800,"1,23808","1,2381"
20170106 000900,"1,23789","1,23808"
20170106 001000,"1,23803","1,23808"
20170106 001100,"1,23802","1,23808"
20170106 001200,"1,23796","1,23809"
20170106 001300,"1,23795","1,238"
20170106 001400,"1,23794","1,238"
20170106 001500,"1,238","1,238"
20170106 001600,"1,23788","1,23801"
20170106 001700,"1,23788","1,23791"
20170106 001800,"1,23789","1,23798"
20170106 001900,"1,23797","1,238"
20170106 002000,"1,23798","1,238"
20170106 002100,"1,23798","1,238"
20170106 002200,"1,23795","1,23811"
20170106 002300,"1,23795","1,23795"
20170106 002400,"1,23783","1,23784"
20170106 002500,"1,23761","1,23772"
20170106 002600,"1,23772","1,23775"
20170106 002700,"1,23766","1,23767"
20170106 002800,"1,23764","1,2377"
20170106 002900,"1,23756","1,23757"
20170106 003000,"1,23754","1,23773"
20170106 003100,"1,23766","1,23768"
20170106 003200,"1,23766","1,2378"
20170106 003300,"1,23779","1,23779"
20170106 003400,"1,23769","1,23784"
20170106 003500,"1,23779","1,23789"
20170106 003600,"1,23782","1,23789"
20170106 003700,"1,23789","1,23799"
20170106 003800,"1,23798","1,23802"
20170106 003900,"1,23798","1,23798"
20170106 004000,"1,23796","1,238"
20170106 004100,"1,23797","1,23799"
20170106 004200,"1,23793","1,23798"
20170106 004300,"1,23802","1,23802"
20170106 004400,"1,23788","1,23788"
20170106 004500,"1,23771","1,23775"
20170106 004600,"1,23758","1,23759"
20170106 004700,"1,23758","1,23763"
20170106 004800,"1,23755","1,23755"
20170106 004900,"1,2375","1,23758"
20170106 005000,"1,2375","1,23757"
20170106 005100,"1,23739","1,23756"
20170106 005200,"1,23755","1,23757"
20170106 005300,"1,23754","1,23758"
20170106 005400,"1,23756","1,23778"
20170106 005500,"1,2377","1,23772"
20170106 005600,"1,23768","1,23787"
20170106 005700,"1,23787","1,23787"
20170106 005800,"1,23779","1,23799"
20170106 005900,"1,23788","1,23797"
20170106 010000,"1,23789","1,23794"
20170106 010100,"1,23785","1,23789"
20170106 010200,"1,23786","1,23786"
20170106 010300,"1,23776","1,23778"
20170106 010400,"1,23775","1,23777"
20170106 010500,"1,23776","1,23797"
20170106 010600,"1,23798","1,23811"
20170106 010700,"1,23809","1,2383"
20170106 010800,"1,23802","1,23804"
20170106 010900,"1,23798","1,23809"
20170106 011000,"1,23807","1,23834"
20170106 011100,"1,23819","1,23825"
20170106 011200,"1,23818","1,23827"
20170106 011300,"1,2382","1,23821"
20170106 011400,"1,23818","1,23822"
20170106 011500,"1,23823","1,23831"
20170106 011600,"1,2383","1,23837"
20170106 011700,"1,23833","1,23836"
20170106 011800,"1,23836","1,23836"
20170106 011900,"1,23831","1,23834"
20170106 012000,"1,23827","1,2383"
20170106 012100,"1,23828","1,2383"
20170106 012200,"1,2383","1,23838"
20170106 012300,"1,23826","1,2383"
20170106 012400,"1,2382","1,23828"
20170106 012500,"1,23814","1,23821"
20170106 012600,"1,23813","1,2382"
20170106 012700,"1,23818","1,23819"
20170106 012800,"1,23814","1,23819"
20170106 012900,"1,23812","1,23812"
20170106 013000,"1,23811","1,23818"
20170106 013100,"1,23812","1,23815"
20170106 013200,"1,23815","1,23826"
20170106 013300,"1,23813","1,23823"
20170106 013400,"1,23824","1,23841"
20170106 013500,"1,2383","1,2383"
20170106 013600,"1,23815","1,23822"
20170106 013700,"1,2382","1,23823"
20170106 013800,"1,23818","1,23829"
20170106 013900,"1,2382","1,23822"
20170106 014000,"1,23821","1,23821"
20170106 014100,"1,23809","1,23812"
20170106 014200,"1,23812","1,23812"
20170106 014300,"1,23805","1,23811"
20170106 014400,"1,23803","1,2381"
20170106 014500,"1,23799","1,23799"
20170106 014600,"1,23768","1,23778"
20170106 014700,"1,23758","1,2376"
20170106 014800,"1,23757","1,23761"
20170106 014900,"1,2376","1,23779"
20170106 015000,"1,23779","1,23794"
20170106 015100,"1,23789","1,2379"
20170106 015200,"1,23781","1,23781"
20170106 015300,"1,23761","1,23767"
20170106 015400,"1,23752","1,2376"
20170106 015500,"1,23755","1,23755"
20170106 015600,"1,2375","1,23803"
20170106 015700,"1,23793","1,23811"
20170106 015800,"1,2378","1,2379"
20170106 015900,"1,23786","1,23789"
20170106 020000,"1,23764","1,238"
20170106 020100,"1,23798","1,23811"
20170106 020200,"1,23801","1,23809"
20170106 020300,"1,238","1,2381"
20170106 020400,"1,23807","1,23807"
20170106 020500,"1,23788","1,23799"
20170106 020600,"1,23787","1,2379"
20170106 020700,"1,23779","1,23786"
20170106 020800,"1,23768","1,2379"
20170106 020900,"1,23789","1,2381"
20170106 021000,"1,23798","1,23819"
20170106 021100,"1,23797","1,23797"
20170106 021200,"1,23771","1,23811"
20170106 021300,"1,23804","1,2381"
20170106 021400,"1,23799","1,238"
20170106 021500,"1,23786","1,23801"
20170106 021600,"1,23802","1,23831"
20170106 021700,"1,23831","1,23837"
20170106 021800,"1,23821","1,23822"
20170106 021900,"1,23821","1,23821"
20170106 022000,"1,23816","1,23825"
20170106 022100,"1,23819","1,23826"
20170106 022200,"1,23809","1,23822"
20170106 022300,"1,2381","1,23819"
20170106 022400,"1,2382","1,2382"
20170106 022500,"1,23797","1,23808"
20170106 022600,"1,23799","1,23799"
20170106 022700,"1,2378","1,23788"
20170106 022800,"1,23777","1,23781"
20170106 022900,"1,23777","1,23796"
20170106 023000,"1,23781","1,23791"
20170106 023100,"1,23769","1,23799"
20170106 023200,"1,2377","1,23779"
20170106 023300,"1,23779","1,23779"
20170106 023400,"1,2377","1,2377"
20170106 023500,"1,23749","1,23794"
20170106 023600,"1,23797","1,23797"
20170106 023700,"1,23795","1,23802"
20170106 023800,"1,23782","1,23789"
20170106 023900,"1,23775","1,23782"
20170106 024000,"1,23776","1,23779"
20170106 024100,"1,2377","1,2377"
20170106 024200,"1,23759","1,23768"
20170106 024300,"1,23764","1,2377"
20170106 024400,"1,23751","1,23775"
20170106 024500,"1,23765","1,23787"
20170106 024600,"1,23785","1,23789"
20170106 024700,"1,2378","1,23783"
20170106 024800,"1,23762","1,23783"
20170106 024900,"1,23774","1,2378"
20170106 025000,"1,23755","1,2378"
20170106 025100,"1,23776","1,23776"
20170106 025200,"1,23759","1,23769"
20170106 025300,"1,2375","1,23776"
20170106 025400,"1,23772","1,23788"
20170106 025500,"1,23763","1,2377"
20170106 025600,"1,23758","1,23758"
20170106 025700,"1,2375","1,23758"
20170106 025800,"1,23751","1,23753"
20170106 025900,"1,23737","1,23781"
20170106 030000,"1,23781","1,23791"
20170106 030100,"1,23782","1,23809"
20170106 030200,"1,23806","1,23831"
20170106 030300,"1,23823","1,2383"
20170106 030400,"1,23814","1,23816"
20170106 030500,"1,23809","1,23809"
20170106 030600,"1,23789","1,23799"
20170106 030700,"1,23799","1,23799"
20170106 030800,"1,23793","1,2381"
20170106 030900,"1,23813","1,23831"
20170106 031000,"1,23816","1,23816"
20170106 031100,"1,23804","1,23809"
20170106 031200,"1,23798","1,2382"
20170106 031300,"1,23816","1,23824"
20170106 031400,"1,23821","1,23824"
20170106 031500,"1,23821","1,23821"
20170106 031600,"1,23819","1,2384"
20170106 031700,"1,23815","1,23824"
20170106 031800,"1,2382","1,2382"
20170106 031900,"1,23791","1,23811"
20170106 032000,"1,23811","1,23818"
20170106 032100,"1,2382","1,23821"
20170106 032200,"1,23799","1,23813"
20170106 032300,"1,23807","1,23814"
20170106 032400,"1,23812","1,23826"
20170106 032500,"1,23798","1,23808"
20170106 032600,"1,23806","1,2382"
20170106 032700,"1,23817","1,23824"
20170106 032800,"1,23815","1,23815"
20170106 032900,"1,23812","1,23826"
20170106 033000,"1,23811","1,23813"
20170106 033100,"1,23809","1,23829"
20170106 033200,"1,23826","1,23831"
20170106 033300,"1,23828","1,23828"
20170106 033400,"1,2382","1,23831"
20170106 033500,"1,23827","1,23827"
20170106 033600,"1,23798","1,23801"
20170106 033700,"1,238","1,238"
20170106 033800,"1,23784","1,23801"
20170106 033900,"1,238","1,23802"
20170106 034000,"1,23773","1,23781"
20170106 034100,"1,23777","1,23781"
20170106 034200,"1,23776","1,23789"
20170106 034300,"1,23787","1,23787"
20170106 034400,"1,23777","1,23782"
20170106 034500,"1,23775","1,23793"
20170106 034600,"1,23801","1,23808"
20170106 034700,"1,23807","1,23827"
20170106 034800,"1,23822","1,2384"
20170106 034900,"1,2384","1,23842"
20170106 035000,"1,23842","1,23842"
20170106 035100,"1,2384","1,23849"
20170106 035200,"1,23838","1,23846"
20170106 035300,"1,23831","1,23846"
20170106 035400,"1,23841","1,23845"
20170106 035500,"1,23843","1,23845"
20170106 035600,"1,23838","1,23845"
20170106 035700,"1,23841","1,23841"
20170106 035800,"1,23835","1,2386"
20170106 035900,"1,23854","1,23875"
20170106 040000,"1,23877","1,23897"
20170106 040100,"1,23889","1,23889"
20170106 040200,"1,23848","1,23863"
20170106 040300,"1,23859","1,23859"
20170106 040400,"1,23839","1,23848"
20170106 040500,"1,23829","1,23831"
20170106 040600,"1,23827","1,23854"
20170106 040700,"1,23852","1,23864"
20170106 040800,"1,23858","1,23858"
20170106 040900,"1,23838","1,23839"
20170106 041000,"1,23831","1,23844"
20170106 041100,"1,23834","1,23843"
20170106 041200,"1,23843","1,23856"
20170106 041300,"1,23851","1,2386"
20170106 041400,"1,23861","1,23863"
20170106 041500,"1,23857","1,23861"
20170106 041600,"1,23858","1,23885"
20170106 041700,"1,2388","1,23888"
20170106 041800,"1,23863","1,23863"
20170106 041900,"1,23838","1,23839"
20170106 042000,"1,23821","1,23821"
20170106 042100,"1,23792","1,23792"
20170106 042200,"1,23788","1,23791"
20170106 042300,"1,23787","1,23819"
20170106 042400,"1,23805","1,2383"
20170106 042500,"1,23813","1,23817"
20170106 042600,"1,23772","1,23833"
20170106 042700,"1,2383","1,23843"
20170106 042800,"1,23837","1,23853"
20170106 042900,"1,23854","1,23854"
20170106 043000,"1,23821","1,2383"
20170106 043100,"1,23816","1,23831"
20170106 043200,"1,23832","1,2387"
20170106 043300,"1,23858","1,239"
20170106 043400,"1,23888","1,2389"
20170106 043500,"1,23876","1,23892"
20170106 043600,"1,23872","1,23879"
20170106 043700,"1,23871","1,23872"
20170106 043800,"1,2385","1,23861"
20170106 043900,"1,23842","1,2385"
20170106 044000,"1,23828","1,23852"
20170106 044100,"1,2384","1,2384"
20170106 044200,"1,23831","1,23841"
20170106 044300,"1,23837","1,23868"
20170106 044400,"1,23869","1,23885"
20170106 044500,"1,23879","1,23893"
20170106 044600,"1,23852","1,23889"
20170106 044700,"1,23857","1,239"
20170106 044800,"1,23877","1,2389"
20170106 044900,"1,23882","1,23882"
20170106 045000,"1,23871","1,23871"
20170106 045100,"1,2387","1,23871"
20170106 045200,"1,23853","1,23855"
20170106 045300,"1,23839","1,23839"
20170106 045400,"1,23819","1,23872"
20170106 045500,"1,23847","1,23871"
20170106 045600,"1,23854","1,23859"
20170106 045700,"1,2385","1,23853"
20170106 045800,"1,23852","1,23872"
20170106 045900,"1,2387","1,23874"
20170106 050000,"1,23861","1,23872"
20170106 050100,"1,23851","1,23862"
20170106 050200,"1,23858","1,23858"
20170106 050300,"1,23851","1,23883"
20170106 050400,"1,23885","1,23904"
20170106 050500,"1,23902","1,23912"
20170106 050600,"1,239","1,23902"
20170106 050700,"1,2388","1,23893"
20170106 050800,"1,2389","1,2389"
20170106 050900,"1,23878","1,23914"
20170106 051000,"1,23915","1,23941"
20170106 051100,"1,23933","1,23933"
20170106 051200,"1,2392","1,23933"
20170106 051300,"1,23933","1,23933"
20170106 051400,"1,23929","1,23951"
20170106 051500,"1,23942","1,23942"
20170106 051600,"1,23911","1,23942"
20170106 051700,"1,2394","1,23942"
20170106 051800,"1,23928","1,23929"
20170106 051900,"1,23889","1,23891"
20170106 052000,"1,2385","1,23851"
20170106 052100,"1,23828","1,23837"
20170106 052200,"1,23827","1,23827"
20170106 052300,"1,23813","1,23831"
20170106 052400,"1,23828","1,2383"
20170106 052500,"1,23807","1,2384"
20170106 052600,"1,23833","1,23849"
20170106 052700,"1,2383","1,2383"
20170106 052800,"1,23808","1,2381"
20170106 052900,"1,23802","1,23815"
